Jurisdiccion; Departamento;Nombre Institucion;Estado_ETP;Gestion;Matricula_Total;Matricula_Varones;Matricula_Mujeres;ORIENTACION;TIPO INST
Santa Fé;San Martín;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 475 Ingeniero Francisco González Zimmermann;Institución de ETP;Estatal;213;156;57;Industrial;SEC TEC
Santa Fé;Caseros;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 476 Miguel Castellanos;Institución de ETP;Estatal;172;102;70;Industrial;SEC TEC
Santa Fé;San Lorenzo;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 477 Combate de San Lorenzo;Institución de ETP;Estatal;542;452;90;Industrial;SEC TEC
Santa Fé;La Capital;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 478 Dr. Nicolás Avellaneda;Institución de ETP;Estatal;517;410;107;Industrial;SEC TEC
Santa Fé;La Capital;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 479 Dr. Manuel D. Pizzarro;Institución de ETP;Estatal;273;195;78;Industrial;SEC TEC
Santa Fé;La Capital;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 480 Manuel Belgrano;Institución de ETP;Estatal;386;341;45;Industrial;SEC TEC
Santa Fé;La Capital;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 481 Esteban Echeverría;Institución de ETP;Estatal;256;132;124;Servicios;SEC TEC-FP
Santa Fé;Iriondo;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 482 República Argentina;Institución de ETP;Estatal;125;105;20;Industrial;SEC TEC
Santa Fé;General López;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 483 El Industrial;Institución de ETP;Estatal;216;166;50;Industrial;SEC TEC
Santa Fé;General López;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 484 Prefectura Naval Argentina;Institución de ETP;Estatal;154;101;53;Industrial;SEC TEC
Santa Fé;San Lorenzo;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 486 Francisco Netri;Institución de ETP;Estatal;218;100;118;Agropecuaria;SEC TEC
Santa Fé;General Obligado;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 487 CARLOS ALFREDO SPONTON;Institución de ETP;Estatal;64;42;22;Agropecuaria;SEC TEC
Santa Fé;San Cristóbal;"Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 491 Fuerte Nuestra Señora de la Soledad	";Institución de ETP;Estatal;50;26;24;Industrial;SEC TEC
Santa Fé;San Cristóbal;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 492 ;Institución de ETP;Estatal;106;61;45;Industrial;SEC TEC
Santa Fé;Castellanos;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 495 Malvinas Argentinas;Institución de ETP;Estatal;263;170;93;Servicios;SEC TEC
Santa Fé;San Cristóbal;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 500 ;Institución de ETP;Estatal;62;31;31;Industrial;SEC TEC
Santa Fé;La Capital;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 508 Dra. Cecilia Grierson;Institución de ETP;Estatal;105;64;41;Industrial;SEC TEC
Santa Fé;La Capital;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 527 Bicentenario de la Patria;Institución de ETP;Estatal;185;99;86;Industrial;SEC TEC
Santa Fé;Rosario;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 547 Héroes de Malvinas;Institución de ETP;Estatal;262;172;90;Industrial;SEC TEC
Santa Fé;Rosario;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 550 Manuel Sadosky;Institución de ETP;Estatal;194;121;73;Industrial;SEC TEC
Santa Fé;Castellanos;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 565 ;Institución de ETP;Estatal;88;63;25;Industrial;SEC TEC
Santa Fé;La Capital;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 601 Leandro N. Alem;Institución de ETP;Estatal;78;38;40;Servicios;SEC TEC-FP
Santa Fé;General López;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 602 General José de San Martín;Institución de ETP;Estatal;164;104;60;Industrial;SEC TEC
Santa Fé;San Jerónimo;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 612 Eudocio de los Santos Giménez;Institución de ETP;Estatal;326;178;148;Industrial;SEC TEC
Santa Fé;La Capital;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 614 Prof. Enrique Jose Muzzio;Institución de ETP;Estatal;317;192;125;Industrial;SEC TEC-FP
Santa Fé;General Obligado;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 619 Pbtro. Luís A. Spontón;Institución de ETP;Estatal;178;135;43;Industrial;SEC TEC-FP
Santa Fé;Rosario;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 625 Carlos Guido y Spano;Institución de ETP;Estatal;302;131;171;Servicios;SEC TEC
Santa Fé;Rosario;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 628 Servando Bayo;Institución de ETP;Estatal;165;112;53;Servicios;SEC TEC-FP
Santa Fé;Las Colonias;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 631 Benjamín de Gorostiaga;Institución de ETP;Estatal;228;152;76;Industrial;SEC TEC
Santa Fé;La Capital;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 633 Centenario de Bolivia;Institución de ETP;Estatal;251;132;119;Industrial;SEC TEC
Santa Fé;General Obligado;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 634 Yapeyú;Institución de ETP;Estatal;135;86;49;Industrial;SEC TEC
Santa Fé;Rosario;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 638 Margarita Mazza de Carlés;Institución de ETP;Estatal;93;32;61;Servicios;SEC TEC
Santa Fé;Vera;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 642 Mercedes San Martín de Balcarce;Institución de ETP;Estatal;197;128;69;Industrial;SEC TEC-FP
Santa Fé;San Lorenzo;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 643 Granaderos de San Lorenzo;Institución de ETP;Estatal;304;220;84;Industrial;SEC TEC
Santa Fé;Las Colonias;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 644 Gregoria Matorras;Institución de ETP;Estatal;131;88;43;Industrial;SEC TEC-FP
Santa Fé;La Capital;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 645 Coronel de Marina Martín Jacobo Thompson;Institución de ETP;Estatal;62;34;28;Agropecuaria;SEC TEC-FP
Santa Fé;La Capital;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 647 Dr. Pedro Lucas Funes;Institución de ETP;Estatal;117;68;49;Industrial;SEC TEC
Santa Fé;Rosario;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 650 General José de San Martín;Institución de ETP;Estatal;130;85;45;Industrial;SEC TEC-FP
Santa Fé;La Capital;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 651 Remedios de Escalada de San Martín;Institución de ETP;Estatal;94;53;41;Industrial;SEC TEC-FP
Santa Fé;Castellanos;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 654 Dr. Nicolás Avellaneda;Institución de ETP;Estatal;227;128;99;Industrial;SEC TEC
Santa Fé;La Capital;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 655 Paula Albarracín de Sarmiento;Institución de ETP;Estatal;124;74;50;Servicios;SEC TEC
Santa Fé;La Capital;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 658 María Sánchez de Thompson;Institución de ETP;Estatal;111;46;65;Servicios;SEC TEC
Santa Fé;Rosario;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 660 Laureana Ferrari de Olazábal;Institución de ETP;Estatal;148;72;76;Servicios;SEC TEC
Santa Fé;General Obligado;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 662 Juan Bautista Cabral;Institución de ETP;Estatal;127;93;34;Industrial;SEC TEC
Santa Fé;Constitución;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 669 General José de San Martín;Institución de ETP;Estatal;365;225;140;Industrial;SEC TEC
Santa Fé;San Jerónimo;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 670 General Antonio González Balcarce;Institución de ETP;Estatal;44;30;14;Servicios;SEC TEC-FP
Santa Fé;San Lorenzo;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 672 Remedios de Escalada de San Martín;Institución de ETP;Estatal;396;180;216;Industrial;SEC TEC
Santa Fé;San Jerónimo;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 674 Francisca Silveyra de Ibarrola;Institución de ETP;Estatal;41;19;22;Servicios;SEC TEC-FP
Santa Fé;Las Colonias;"Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 681 ""Mercedes Álvarez de Segura""";Institución de ETP;Estatal;129;82;47;Industrial;SEC TEC
Santa Fé;Rosario;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 683 General Dr. Pascual Echagüe;Institución de ETP;Estatal;156;83;73;Servicios;SEC TEC
Santa Fé;Rosario;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 685 Nuestra Señora de Luján;Institución de ETP;Estatal;169;61;108;Servicios;SEC TEC-FP
Santa Fé;San Justo;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 687 República de Venezuela;Institución de ETP;Estatal;146;99;47;Industrial;SEC TEC
Santa Fé;La Capital;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 690 Lucía Aráoz;Institución de ETP;Estatal;140;86;54;Agropecuaria;SEC TEC
Santa Fé;La Capital;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 691 Laureana de Olazábal;Institución de ETP;Estatal;107;55;52;Agropecuaria;SEC TEC
Santa Fé;Iriondo;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 692 Paula Albarracín;Institución de ETP;Estatal;65;26;39;Servicios;SEC TEC-FP
Santa Fé;General López;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 711 ;Institución de ETP;Estatal;15;7;8;Agropecuaria;SEC TEC
Santa Fé;San Lorenzo;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 712 E.E.T.P. Nº 712;Institución de ETP;Estatal;144;103;41;Industrial;SEC TEC
Santa Fé;Iriondo;Escuela de Educación Secundaria Modalidad Técnico Profesional Nº 716 Dr. Rene Favaloro;Institución de ETP;Estatal;43;16;27;Servicios;SEC TEC
Santa Fé;Rosario;Escuela de Educación Secundaria Modalidad Técnico Profesional Particular Incorporada Nº 2043 San José;Institución de ETP;Privado;206;206;0;Industrial;SEC TEC
Santa Fé;La Capital;Escuela de Educación Secundaria Modalidad Técnico Profesional Particular Incorporada Nº 8122 Nuestra Señora de Lourdes;Institución de ETP;Privado;292;149;143;Industrial;SEC TEC
Santa Fé;Caseros;Escuela de Educación Secundaria Modalidad Técnico Profesional Particular Incorporada Nº 8163 San José;Institución de ETP;Privado;119;73;46;Industrial;SEC TEC
Santa Fé;Constitución;Escuela de Educación Secundaria Modalidad Técnico Profesional Particular Incorporada Nº 8216 Centro de Formación Rural Alfredo E. Rueda;Institución de ETP;Privado;49;49;0;Agropecuaria;SEC TEC-FP
Santa Fé;General López;"Escuela de Educación Secundaria Modalidad Técnico Profesional Particular Incorporada Nº 8218 Centro de Formación Rural ""El Chañar""";Institución de ETP;Privado;51;51;0;Agropecuaria;SEC TEC
Santa Fé;Caseros;Escuela de Educación Secundaria Modalidad Técnico Profesional Particular Incorporada Nº 8236 ;Institución de ETP;Privado;32;32;0;Agropecuaria;SEC TEC
Buenos Aires;Moreno;Escuela de Educación Secundaria Técnica (E.E.S.T.)  Escuela Secundaria Politécnica de la Universidad Nacional de Moreno;Institución de Otro Nivel y/o Modalidad;Estatal;89;53;36;Servicios;SEC TEC
Buenos Aires;Avellaneda;Escuela de Educación Secundaria Técnica (E.E.S.T.)  Escuela Secundaria Técnica - UNDAV;Institución de ETP;Estatal;70;45;25;Industrial;SEC TEC
Buenos Aires;Malvinas Argentinas;"Escuela de Educación Secundaria Técnica (E.E.S.T.)  Universidad Nacional de General Sarmiento	";Institución de Otro Nivel y/o Modalidad;Estatal;92;68;24;Industrial;SEC TEC
Buenos Aires;Suipacha;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 001 ;Institución de ETP;Estatal;67;48;19;Industrial;SEC TEC
Buenos Aires;Berazategui;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 ;Institución de ETP;Estatal;397;298;99;Industrial;SEC TEC
Buenos Aires;Carlos Casares;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 ;Institución de ETP;Estatal;127;93;34;Industrial;SEC TEC
Buenos Aires;Chacabuco;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 ;Institución de ETP;Estatal;306;237;69;Industrial;SEC TEC
Buenos Aires;Coronel Pringles;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 ;Institución de ETP;Estatal;279;158;121;Industrial;SEC TEC
Buenos Aires;Ezeiza;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 ;Institución de ETP;Estatal;637;463;174;Industrial;SEC TEC
Buenos Aires;General Alvear;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 ;Institución de ETP;Estatal;70;47;23;Industrial;SEC TEC
Buenos Aires;General Villegas;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 ;Institución de ETP;Estatal;170;116;54;Industrial;SEC TEC
Buenos Aires;Guaminí;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 ;Institución de ETP;Estatal;30;28;2;Industrial;SEC TEC
Buenos Aires;Lezama;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 ;Institución de ETP;Estatal;363;269;94;Industrial;SEC TEC
Buenos Aires;San Fernando;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Alférez José Sobral;Institución de ETP;Estatal;120;56;64;Industrial;SEC TEC
Buenos Aires;Alberti;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Almirante Guillermo Brown;Institución de ETP;Estatal;93;77;16;Industrial;SEC TEC
Buenos Aires;Coronel Dorrego;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Almirante Guillermo Brown;Institución de ETP;Estatal;148;93;55;Industrial;SEC TEC
Buenos Aires;Ensenada;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Almirante Guillermo Brown;Institución de ETP;Estatal;475;299;176;Industrial;SEC TEC
Buenos Aires;Zárate;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Almirante Guillermo Brown;Institución de ETP;Estatal;948;570;378;Industrial;SEC TEC
Buenos Aires;Coronel Rosales;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Almirante Ramón González Fernández;Institución de ETP;Estatal;492;322;170;Industrial;SEC TEC
Buenos Aires;Puán;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Angela Almeyra;Institución de ETP;Estatal;98;58;40;Industrial;SEC TEC
Buenos Aires;Junín;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Antonio Bermejo;Institución de ETP;Estatal;261;232;29;Industrial;SEC TEC
Buenos Aires;La Matanza;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Armada Argentina;Institución de ETP;Estatal;451;337;114;Industrial;SEC TEC
Buenos Aires;Punta Indio;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Arsenal Aeronaval N°1 Punta Indio;Institución de ETP;Estatal;101;67;34;Industrial;SEC TEC
Buenos Aires;Pergamino;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Bartolomé Mitre;Institución de ETP;Estatal;653;485;168;Industrial;SEC TEC
Buenos Aires;Baradero;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Batalla de la Vuelta de Obligado;Institución de ETP;Estatal;355;231;124;Industrial;SEC TEC
Buenos Aires;Presidente Perón;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Bernardino Rivadavia;Institución de ETP;Estatal;611;398;213;Industrial;SEC TEC
Buenos Aires;Ramallo;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Bonifacio Velazquez;Institución de ETP;Estatal;436;257;179;Industrial;SEC TEC
Buenos Aires;Trenque Lauquen;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Campañas al Desierto;Institución de ETP;Estatal;163;121;42;Industrial;SEC TEC
Buenos Aires;Escobar;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Capitán de Navío Hipólito Bouchard;Institución de ETP;Estatal;1207;845;362;Industrial;SEC TEC
Buenos Aires;Daireaux;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Ceferino Namuncurá;Institución de ETP;Estatal;187;107;80;Industrial;SEC TEC
Buenos Aires;Florencio Varela;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Cnel. de Marina J. L. Piedra Buena;Institución de ETP;Estatal;682;478;204;Industrial;SEC TEC
Buenos Aires;General Pueyrredón;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Comandate Luis Piedra Buena;Institución de ETP;Estatal;301;225;76;Industrial;SEC TEC
Buenos Aires;José C. Paz;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Comunidad de José C. Paz;Institución de ETP;Estatal;635;476;159;Industrial;SEC TEC
Buenos Aires;General Las Heras;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Corbeta Uruguay;Institución de ETP;Estatal;260;168;92;Industrial;SEC TEC
Buenos Aires;Cañuelas;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Coronel Manuel Dorrego;Institución de ETP;Estatal;509;351;158;Industrial;SEC TEC
Buenos Aires;Azul;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Coronel Pedro Burgos;Institución de ETP;Estatal;103;48;55;Industrial;SEC TEC
Buenos Aires;Bahía Blanca;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Crucero A.R.A. General Belgrano;Institución de ETP;Estatal;575;377;198;Industrial;SEC TEC
Buenos Aires;Pinamar;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Crucero General Belgrano;Institución de ETP;Estatal;467;280;187;Industrial;SEC TEC
Buenos Aires;Dolores;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Delfor del Valle;Institución de ETP;Estatal;117;90;27;Industrial;SEC TEC
Buenos Aires;Bragado;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Doctor Pedro R Núñez;Institución de ETP;Estatal;296;252;44;Industrial;SEC TEC
Buenos Aires;Rojas;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Don Luis Bussalleu;Institución de ETP;Estatal;195;134;61;Industrial;SEC TEC
Buenos Aires;Leandro N. Alem;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Dr. Bernardo Alberto Houssay;Institución de ETP;Estatal;107;61;46;Industrial;SEC TEC
Buenos Aires;Morón;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Dr. Dalmacio Vélez Sarsfield;Institución de ETP;Estatal;305;230;75;Industrial;SEC TEC
Buenos Aires;Roque Pérez;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Dr. Rene Favaloro;Institución de ETP;Estatal;154;100;54;Industrial;SEC TEC
Buenos Aires;Olavarría;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Dr. René Favaloro;Institución de ETP;Estatal;86;60;26;Industrial;SEC TEC
Buenos Aires;Vicente López;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Eduardo Ader;Institución de ETP;Estatal;294;249;45;Industrial;SEC TEC
Buenos Aires;Luján;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Eduardo Guillermo Oliver;Institución de ETP;Estatal;665;453;212;Industrial;SEC TEC
Buenos Aires;General Viamonte;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Ejército Argentino;Institución de ETP;Estatal;166;115;51;Industrial;SEC TEC
Buenos Aires;San Antonio de Areco;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Enrique M. G. de Laplacette y Margarita S. de Laplacette;Institución de ETP;Estatal;206;133;73;Industrial;SEC TEC
Buenos Aires;San Isidro;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Escuela de Educacion Secundaria Tecnica Nº1 de San Isidro;Institución de ETP;Estatal;197;121;76;Industrial;SEC TEC
Buenos Aires;Colón;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Fortín de las Mercedes;Institución de ETP;Estatal;220;116;104;Industrial;SEC TEC
Buenos Aires;Arrecifes;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Fray Luis Beltrán;Institución de ETP;Estatal;176;100;76;Industrial;SEC TEC
Buenos Aires;General Pinto;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Fray Luis Beltrán;Institución de ETP;Estatal;74;63;11;Industrial;SEC TEC
Buenos Aires;Salliqueló;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Fray Luis Beltrán;Institución de ETP;Estatal;156;75;81;Industrial;SEC TEC
Buenos Aires;Lobos;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 General Enrique Mosconi;Institución de ETP;Estatal;246;178;68;Industrial;SEC TEC
Buenos Aires;Lomas de Zamora;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 General José de San Martín;Institución de ETP;Estatal;473;398;75;Industrial;SEC TEC
Buenos Aires;Tres Arroyos;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 General José de San Martín;Institución de ETP;Estatal;367;260;107;Industrial;SEC TEC
Buenos Aires;Las Flores;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 General Manuel Belgrano;Institución de ETP;Estatal;159;131;28;Industrial;SEC TEC
Buenos Aires;Moreno;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 General Manuel Nicolás Savio;Institución de ETP;Estatal;899;623;276;Industrial;SEC TEC
Buenos Aires;Tigre;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 General Manuel Nicolás Savio;Institución de ETP;Estatal;811;576;235;Industrial;SEC TEC
Buenos Aires;Navarro;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 General Manuel Savio;Institución de ETP;Estatal;289;193;96;Industrial;SEC TEC
Buenos Aires;Saladillo;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 General Manuel Savio;Institución de ETP;Estatal;448;256;192;Industrial;SEC TEC
Buenos Aires;Magdalena;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 General Mariano Necochea;Institución de ETP;Estatal;273;192;81;Industrial;SEC TEC
Buenos Aires;Almirante Brown;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 General Martín Miguel de Güemes;Institución de ETP;Estatal;794;499;295;Industrial;SEC TEC
Buenos Aires;Malvinas Argentinas;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Gral. Jose de San Martín;Institución de ETP;Estatal;438;319;119;Industrial;SEC TEC
Buenos Aires;Pilar;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Griselda Mazettelle;Institución de ETP;Estatal;667;428;239;Industrial;SEC TEC
Buenos Aires;Villa Gesell;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Héroes de Malvinas;Institución de ETP;Estatal;163;100;63;Industrial;SEC TEC
Buenos Aires;Merlo;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Ingeniero Francisco E. Urondo;Institución de ETP;Estatal;892;732;160;Industrial;SEC TEC
Buenos Aires;Necochea;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Ingeniero M. A. Elpuerto;Institución de ETP;Estatal;173;139;34;Industrial;SEC TEC
Buenos Aires;Rauch;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Islas Malvinas;Institución de ETP;Estatal;61;51;10;Industrial;SEC TEC
Buenos Aires;General Rodríguez;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Javier Tapié;Institución de ETP;Estatal;877;587;290;Industrial;SEC TEC
Buenos Aires;San Andrés de Giles;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Jorge Alfredo Maciel;Institución de ETP;Estatal;191;134;57;Industrial;SEC TEC
Buenos Aires;Avellaneda;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 José Ingenieros;Institución de ETP;Estatal;275;158;117;Servicios;SEC TEC
Buenos Aires;Lincoln;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 José María Cané;Institución de ETP;Estatal;125;109;16;Industrial;SEC TEC
Buenos Aires;San Nicolás de los Arroyos;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Juan Bautista Alberdi;Institución de ETP;Estatal;129;91;38;Industrial;SEC TEC
Buenos Aires;San Pedro;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Juan Bautista Azopardo;Institución de ETP;Estatal;325;247;78;Industrial;SEC TEC
Buenos Aires;Ayacucho;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Juan Labat;Institución de ETP;Estatal;125;99;26;Industrial;SEC TEC
Buenos Aires;Marcos Paz;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Juan XXIII;Institución de ETP;Estatal;528;361;167;Industrial;SEC TEC
Buenos Aires;General Alvarado;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Julio A. Roca;Institución de ETP;Estatal;219;162;57;Industrial;SEC TEC
Buenos Aires;Berisso;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Libertador General José de San Martín;Institución de ETP;Estatal;455;249;206;Industrial;SEC TEC
Buenos Aires;Bolívar;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Libertador Simón Bolívar;Institución de ETP;Estatal;218;163;55;Industrial;SEC TEC
Buenos Aires;Balcarce;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Lucas Kraglievich;Institución de ETP;Estatal;355;276;79;Industrial;SEC TEC
Buenos Aires;Campana;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Luciano Reyes;Institución de ETP;Estatal;685;457;228;Industrial;SEC TEC
Buenos Aires;General San Martín;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Manuel Belgrano;Institución de ETP;Estatal;246;185;61;Industrial;SEC TEC
Buenos Aires;Tres de Febrero;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Manuel Belgrano;Institución de ETP;Estatal;339;257;82;Industrial;SEC TEC
Buenos Aires;Rivadavia;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Marco Silvio Ghiglione;Institución de ETP;Estatal;70;66;4;Industrial;SEC TEC
Buenos Aires;Chivilcoy;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Mariano Moreno;Institución de ETP;Estatal;263;217;46;Industrial;SEC TEC
Buenos Aires;Veinticinco de Mayo;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Nestor Orlando Ruggiero;Institución de ETP;Estatal;329;258;71;Industrial;SEC TEC
Buenos Aires;Lanús;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Nicolás Avellaneda;Institución de ETP;Estatal;107;61;46;Industrial;SEC TEC
Buenos Aires;Mercedes;Escuela de Educación Secundaria Técnica (E.E.S.T.) Nº 01 Nuestra Señora de las Mercedes;Institución de ETP;Estatal;213;158;55;Industrial;SEC TEC
